Nome,Categoria,Coleções,Preço,Preço Antigo,Desconto,Qtd Cores,Cores Disponíveis,Status Foto,Link Foto Principal
Pit Boss,Linha Clássica,Novidades,R$ 169.90,R$ 297.90,43%,4,"Corvette Lente Preta, Preta Lente Espelhada, Preta Lente Preta, Preta Lente Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/pitboss/corvette-lente-preta.jpg
Sphaera,Linha Clássica,Novidades,R$ 169.90,R$ 297.90,43%,1,Preta,OK,https://site-pi-six-62.vercel.app/assets/produtos/sphaera/preta-1.jpg
Splice,Linha Clássica,Novidades,R$ 169.90,R$ 297.90,43%,15,"Cinza com Preto Lente Dark Ruby, Cinza com Preto Lente Gold Café, Cinza com Preto Lente Preta, Cinza com Preto Lente VR28, Cinza Lente Dark Ruby, Cinza Lente Espelhada, Cinza Lente Gold Café, Cinza Lente Preta, Cinza Lente Tanzanite, Cinza Lente VR28, Cooper Lente Dark Ruby, Cooper Lente VR28, Preta Lente Espelhada, Preta Lente Preta, Preta Lente Torch",OK,https://site-pi-six-62.vercel.app/assets/produtos/splice/cinza-com-preto-lente-dark-ruby.jpg
Thump,Linha Clássica,Novidades / Edição Colecionador,R$ 169.90,R$ 297.90,43%,4,"Carbon Lentes G26, Carbon Lentes Ice, Carbon Lentes Ruby, Carbon Lentes Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/thump/carbon-lentes-g26.jpg
Flak 2.0,Linha Esportiva,Linha Performance,R$ 169.90,R$ 297.90,43%,7,"Branca Lente Tanzanite, Preta Lente Azul, Preta Lente Azul Escuro, Preta Lente Preta, Preta Lente Espelhada, Preta Lente Ruby, Preta Lente Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/flak-2/branca-lente-tanzanite.jpg
Half Jacket,Linha Esportiva,Novidades / Linha Performance,R$ 169.90,R$ 297.90,43%,5,"Carbon Lentes Black, Carbon Lentes Espelhada, Carbon Lentes Tanzanite, Cinza Preto Lente Espelhada, Marrom Lentes VR28",OK,https://site-pi-six-62.vercel.app/assets/produtos/half-jacket/carbon-lentes-black.jpg
Radar,Linha Esportiva,Novidades / Linha Performance,R$ 169.90,R$ 297.90,43%,23,"Branca Lente Sapphire, Branca Lente Tanzanite, Branza Lente Gold, Bronze Lente Dark Ruby, Cinza Lente Preta, Cooper Lente Gold, Cooper Lente VR28 Kit, Cooper Lente VR28, Piet Lente Azul Claro, Piet Lente Espelhada, Piet Lente Gold Café, Piet Lente Preta, Piet Lente Ruby, Piet Lente Torch, Piet Verde Lente Preta, Preta Lente Dark Ruby, Preta Lente Espelhada, Preta Lente Preta, Preta Lente Roxa, Preta Lente Ruby, Preta Lente Sapphire, Preta Lente Tanzanite, Preta Lente Vermelho",OK,https://site-pi-six-62.vercel.app/assets/produtos/radar/branca-lente-sapphire.jpg
Radar + Kit,Linha Esportiva,Novidades / Linha Performance,R$ 169.90,R$ 297.90,43%,7,"Dark Ruby, Espelhada, Preta, Roxa, Ruby, Sapphire, Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/radar-kit/dark-ruby.jpg
RadarLock,Linha Esportiva,Novidades / Linha Performance,R$ 169.90,R$ 297.90,43%,2,"Preta Lente Preta, Silver Lente Espelhada",OK,https://site-pi-six-62.vercel.app/assets/produtos/radarlock/preta-lente-preta.jpg
Spyke,Linha Esportiva,Novidades / Linha Performance,R$ 169.90,R$ 297.90,43%,3,"Low Light, Prizm, VR28",OK,https://site-pi-six-62.vercel.app/assets/produtos/spyke/low-light.jpg
Straight Jacket,Linha Esportiva,Novidades / Linha Performance,R$ 169.90,R$ 297.90,43%,3,"Cooper Lente Preta, Cooper Lente Tanzanite, Cooper Lente VR28",OK,https://site-pi-six-62.vercel.app/assets/produtos/straight-jacket/cooper-lente-preta.jpg
Coilover,Linha Streetwear,Novidades / Linha Performance,R$ 169.90,R$ 297.90,43%,2,"Black Haste Preta, Plasma Haste Preta",OK,https://site-pi-six-62.vercel.app/assets/produtos/coilover/black-haste-preta.jpg
Lach,Linha Streetwear,Novidades,R$ 169.90,R$ 297.90,43%,2,"Marrom Lentes VR28, Preto Lentes Black",OK,https://site-pi-six-62.vercel.app/assets/produtos/lach/marrom-lentes-vr28.jpg
Vilão com Mola,Linha Streetwear,Novidades,R$ 169.90,R$ 297.90,43%,3,"Dourada Transparente, Prata Transparente, Preta Transparente",OK,https://site-pi-six-62.vercel.app/assets/produtos/vilao-com-mola/dourada-transparente.jpg
Double X 24K,Linha X-Metal,Novidades / Edição Colecionador,R$ 169.90,R$ 297.90,43%,5,"24K, Lentes Espelhada, Lentes Tanzanite, Plasma Lente Ice Escura, Plasma",OK,https://site-pi-six-62.vercel.app/assets/produtos/double-x-24k/24k.jpg
M Frame,Linha X-Metal,Novidades,R$ 169.90,R$ 297.90,43%,7,"Preta Lente Espelhada, Preta Lente Gold Café, Preta Lente Ruby, Preta Lente Torch, X Metal Lente Espelhada, X Metal Lente Gold Café, X Metal Lente Preta",OK,https://site-pi-six-62.vercel.app/assets/produtos/m-frame/preta-lente-espelhada.jpg
Mag Four,Linha X-Metal,Novidades / Edição Colecionador,R$ 169.90,R$ 297.90,43%,11,"Plasma Lente Gold, Plasma Lente Preta, Plasma Lente Torch, Preta Lente Gold Café, Preta Lente Preta, Preta Lente Torch, X Metal Lente Azul, X Metal Lente Espelhada, X Metal Lente Gold Café, X Metal Lente Preta, X Metal Lente Torch",OK,https://site-pi-six-62.vercel.app/assets/produtos/mag-four/plasma-lente-gold.jpg
Penny,Linha X-Metal,Novidades / Edição Colecionador,R$ 169.90,R$ 297.90,43%,11,"Carbon Lente Espelhada, Carbon Lente Preta, Carbon Lente Roxa, Carbon Lente Ruby, Plasma Lente Dark Ruby, Plasma Lente Espelhada, X Metal Lente Roxa, Xmetal Lente Espelhada, Xmetal Lente Preta, Xmetal Lente Ruby, Xmetal Lente Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/penny/carbon-lente-espelhada.jpg
Romeo 1,Linha X-Metal,Novidades / Edição Colecionador,R$ 169.90,R$ 297.90,43%,6,"Xmetal Lente Espelhada, Xmetal Lente Gold, Xmetal Lente Preta, Xmetal Lente Ruby, Xmetal Lente Tanzanite, Xmetal Lente Dark Ruby",OK,https://site-pi-six-62.vercel.app/assets/produtos/romeo-1/xmetal-lente-espelhada.jpg
Romeo 2 Carbon,Linha X-Metal,Novidades / Edição Colecionador,R$ 169.90,R$ 297.90,43%,12,"Black Lentes Black, Black Lentes Espelhada, Carbon Lentes Dark Ruby, Ice Thug, Neon Blue, Plasma Lentes Espelhada, Preto, Xmetal Lentes Black, Xmetal Lentes Espelhada, Xmetal Lentes Ice, Xmetal Lentes Ruby, Xmetal Lentes Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/romeo-2-carbon/black-lentes-black.jpg
X Squared,Linha X-Metal,Novidades / Edição Colecionador,R$ 169.90,R$ 297.90,43%,8,"24K Lentes Gold, Carbon Lentes Black, Xmetal Lentes Azul Escuro, Xmetal Lentes Black, Xmetal Lentes Espelhada Kit Vermelho, Xmetal Lentes Ice, Xmetal Lentes Ruby, Xmetal Lentes Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/x-squared/24k-lentes-gold.jpg
